PARIS, 15716
MARSEILLE, 3634
LYON EME, 2893
TOULOUSE, 2779
MONTPELLIER, 1850
NANTES, 1810
BORDEAUX, 1664
LILLE, 1574
SAINT DENIS, 1466
STRASBOURG, 1340
NICE, 1306
AIX EN PROVENCE, 1132
RENNES, 1115
SAINT ETIENNE, 972
BOULOGNE BILLANCOURT, 921
CLERMONT FERRAND, 912
METZ, 827
GRENOBLE, 809
NIMES, 792
DIJON, 773
ANNECY, 772
NANTERRE, 769
REIMS, 754
LIMOGES, 726
MERIGNAC, 688
AMIENS, 684
ANGERS, 681
COURBEVOIE, 675
LE MANS, 663
SAINT HERBLAIN, 656
BESANCON, 647
PUTEAUX, 640
ROUEN, 636
VILLEURBANNE, 627
AVIGNON, 621
FORT DE FRANCE, 606
NANCY, 586
MONTREUIL, 578
LEVALLOIS PERRET, 577
BREST, 563
BAIE MAHAULT, 560
PERPIGNAN, 548
ORLEANS, 535
TOURS, 531
LE HAVRE, 527
TOULON, 527
AJACCIO, 523
VILLENEUVE D ASCQ, 523
CAEN, 493
POITIERS, 483
LA ROCHELLE, 481
SAINT PIERRE, 465
SAINT PRIEST, 453
LE LAMENTIN, 451
NEUILLY SUR SEINE, 446
PAU, 441
ISSY LES MOULINEAUX, 433
ROUBAIX, 425
RUEIL MALMAISON, 422
GENNEVILLIERS, 419
MONTAUBAN, 419
COLMAR, 415
SAINT PAUL, 411
CAYENNE, 407
NIORT, 393
IVRY SUR SEINE, 392
VALENCE, 383
LA ROCHE SUR YON, 376
CARCASSONNE, 369
VANNES, 367
VERSAILLES, 366
BOURGES, 365
BEAUVAIS, 362
QUIMPER, 361
DUNKERQUE, 346
MULHOUSE, 344
NARBONNE, 344
VITROLLES, 330
BOURG EN BRESSE, 329
AUBAGNE, 329
PESSAC, 320
CHAMBERY, 319
VAULX EN VELIN, 313
CESSON SEVIGNE, 304
LORIENT, 300
BASTIA, 298
BEZIERS, 297
VENISSIEUX, 297
BAYONNE, 292
CLICHY, 291
CRETEIL, 282
SAINT NAZAIRE, 281
SAINT MAUR DES FOSSES, 278
EVREUX, 278
EVRY COURCOURONNES, 274
LE PORT, 274
ASNIERES SUR SEINE, 274
CHOLET, 262
TROYES, 261
SAINTE MARIE, 261
SAINT QUENTIN, 256
ARRAS, 255
SURESNES, 254
TOURCOING, 252
LES ABYMES, 252
CANNES, 251
LA SEYNE SUR MER, 249
BLOIS, 248
GAP, 247
VALENCIENNES, 247
SAINT OUEN SUR SEINE, 246
CHARTRES, 242
ARGENTEUIL, 240
MAMOUDZOU, 239
CALAIS, 238
MONTROUGE, 237
LYON ER, 236
RODEZ, 236
BELFORT, 233
CERGY, 232
MARCQ EN BAROEUL, 232
SCHILTIGHEIM, 231
ANGOULEME, 230
