Total Achat,Total Vente,etatAdministratifEtablissement,changementEtatAdministratifEtablissement,activitePrincipaleEtablissement,etatAdministratifUniteLegale,changementEtatAdministratifUniteLegale,categorieJuridiqueUniteLegale,sexeUniteLegale,categorieEntreprise,trancheEffectifsEtablissement,codeCommuneEtablissement,caractereEmployeurEtablissement
0.0,6.0,A,False,01.4B,A,False,1000,M,PME,02,18141,O
0.0,6.0,A,False,01.4B,A,False,1000,M,PME,02,18141,O
0.0,6.0,A,False,01.4B,A,False,1000,M,PME,02,18141,O
0.0,6.0,A,False,01.4B,A,False,1000,M,PME,02,18141,O
0.0,6.0,A,False,81.30Z,A,False,1000,M,PME,02,18141,O
0.0,6.0,A,False,81.30Z,A,False,1000,M,PME,02,18141,O
0.0,6.0,A,False,81.30Z,A,False,1000,M,PME,02,18141,O
0.0,6.0,A,False,81.30Z,A,False,1000,M,PME,02,18141,O
0.0,1.0,A,False,86.22C,A,False,1000,M,PME,01,59122,O
0.0,1.0,A,False,86.22C,A,False,1000,M,PME,01,59122,O
0.0,1.0,A,False,86.22C,A,False,1000,M,PME,01,59122,O
0.0,1.0,A,False,85.1C,A,False,1000,M,PME,01,59122,O
0.0,1.0,A,False,85.1C,A,False,1000,M,PME,01,59122,O
0.0,1.0,A,False,85.1C,A,False,1000,M,PME,01,59122,O
0.0,2.0,F,True,47.21Z,C,True,1000,M,PME,01,63125,N
0.0,2.0,F,True,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,F,True,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,F,True,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,F,True,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,C,True,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,C,True,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,47.21Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,46.31Z,C,True,1000,M,PME,01,63125,N
0.0,2.0,A,False,46.31Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,46.31Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,46.31Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,46.31Z,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,51.3A,C,True,1000,M,PME,01,63125,N
0.0,2.0,A,False,51.3A,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,51.3A,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,51.3A,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,51.3A,A,False,1000,M,PME,01,63125,N
0.0,2.0,A,False,51.3A,C,True,1000,M,PME,01,63125,N
0.0,2.0,A,False,51.3A,A,False,1000,M,PME,01,63125,N
