PARIS, 15856
MARSEILLE, 3687
LYON EME, 2894
TOULOUSE, 2798
MONTPELLIER, 1861
NANTES, 1819
BORDEAUX, 1678
SAINT DENIS, 1628
LILLE, 1592
STRASBOURG, 1346
NICE, 1310
AIX EN PROVENCE, 1147
RENNES, 1126
SAINT ETIENNE, 1114
BOULOGNE BILLANCOURT, 931
CLERMONT FERRAND, 921
METZ, 834
GRENOBLE, 817
NIMES, 794
DIJON, 784
SAINT HERBLAIN, 782
ANNECY, 774
NANTERRE, 773
REIMS, 759
LIMOGES, 729
ANGERS, 696
AMIENS, 691
MERIGNAC, 690
COURBEVOIE, 681
LE MANS, 666
BESANCON, 656
PUTEAUX, 643
ROUEN, 638
VILLEURBANNE, 632
AVIGNON, 627
FORT DE FRANCE, 610
NANCY, 591
MONTREUIL, 583
LEVALLOIS PERRET, 583
SAINT PRIEST, 573
BREST, 566
BAIE MAHAULT, 565
PERPIGNAN, 551
ORLEANS, 541
TOURS, 535
TOULON, 530
AJACCIO, 529
LE HAVRE, 528
VILLENEUVE D ASCQ, 525
SAINT PIERRE, 516
CAEN, 495
POITIERS, 488
LA ROCHELLE, 484
SAINT PAUL, 461
LE LAMENTIN, 451
NEUILLY SUR SEINE, 450
PAU, 442
ISSY LES MOULINEAUX, 434
RUEIL MALMAISON, 425
ROUBAIX, 425
MONTAUBAN, 422
GENNEVILLIERS, 421
COLMAR, 420
CAYENNE, 412
IVRY SUR SEINE, 394
NIORT, 394
VALENCE, 387
LA ROCHE SUR YON, 379
CARCASSONNE, 370
BOURGES, 369
VERSAILLES, 369
VANNES, 367
QUIMPER, 364
BEAUVAIS, 363
MULHOUSE, 349
NARBONNE, 348
DUNKERQUE, 346
AUBAGNE, 333
BOURG EN BRESSE, 332
VITROLLES, 330
PESSAC, 322
CHAMBERY, 321
VAULX EN VELIN, 314
SAINT NAZAIRE, 313
CESSON SEVIGNE, 306
LORIENT, 300
VENISSIEUX, 300
BEZIERS, 299
BASTIA, 299
SAINTE MARIE, 299
SAINT QUENTIN, 295
CLICHY, 293
BAYONNE, 292
SAINT MAUR DES FOSSES, 291
CRETEIL, 288
LE PORT, 282
EVREUX, 280
ASNIERES SUR SEINE, 276
EVRY COURCOURONNES, 274
CHOLET, 266
TROYES, 262
MAMOUDZOU, 262
SAINT BRIEUC, 260
ARRAS, 259
SURESNES, 257
TOURCOING, 255
LA SEYNE SUR MER, 252
CANNES, 252
LES ABYMES, 252
BLOIS, 251
GAP, 249
SAINT OUEN SUR SEINE, 248
VALENCIENNES, 247
MONTROUGE, 243
CHARTRES, 242
ARGENTEUIL, 240
PARIS LA DEFENSE, 240
CALAIS, 238
BELFORT, 237
LYON ER, 236
RODEZ, 236
SCHILTIGHEIM, 234
CERGY, 233
MARCQ EN BAROEUL, 233
ANGOULEME, 232
CARQUEFOU, 228
BRIVE LA GAILLARDE, 227
MACON, 227
SAINT ANDRE, 226
CHATEAUROUX, 226
MONTELIMAR, 225
ANTIBES, 224
LABEGE, 224
HEROUVILLE SAINT CLAIR, 223
FREJUS, 221
VITRY SUR SEINE, 219
CHERBOURG EN COTENTIN, 219
SAINT GERMAIN EN LAYE, 218
ALBI, 216
FONTENAY SOUS BOIS, 216
CHALON SUR SAONE, 216
CHARLEVILLE MEZIERES, 216
COLOMBES, 214
LAVAL, 212
AURILLAC, 211
SALON DE PROVENCE, 210
RUNGIS, 209
ARLES, 208
SAINT LAURENT DU VAR, 208
AUBERVILLIERS, 207
BRON, 206
SAINT MARTIN D HERES, 206
PANTIN, 205
SAINT OUEN L AUMONE, 204
SAINT BENOIT, 203
COMPIEGNE, 203
TARBES, 200
ANTONY, 199
LES ULIS, 199
DOUAI, 198
MAUGUIO, 197
VELIZY VILLACOUBLAY, 197
NOISY LE GRAND, 196
EPINAL, 193
AUXERRE, 193
LENS, 191
MENDE, 191
SAINT LOUIS, 190
MALAKOFF, 188
MONT DE MARSAN, 188
LA GARDE, 187
AUCH, 187
GUYANCOURT, 184
CHAUMONT, 183
SAINT JEAN DE VEDAS, 182
MONTIGNY LE BRETONNEUX, 182
SAINT MARTIN, 182
SAINT GREGOIRE, 182
COLOMIERS, 182
ILLKIRCH GRAFFENSTADEN, 181
SAINT ETIENNE DU ROUVRAY, 181
ROISSY EN FRANCE, 181
SAINT LO, 180
VILLEBON SUR YVETTE, 176
LONS LE SAUNIER, 174
CHALONS EN CHAMPAGNE, 174
AGEN, 174
CHAMPIGNY SUR MARNE, 174
ANGLET, 174
NEVERS, 173
ROANNE, 171
ALENCON, 171
SAINT MALO, 170
LE TAMPON, 169
ECHIROLLES, 169
MONT SAINT AIGNAN, 169
CHASSIEU, 168
CAGNES SUR MER, 167
VALBONNE, 166
VINCENNES, 165
CERGY PONTOISE, 164
SAINT BARTHELEMY D ANJOU, 164
BLAGNAC, 163
LA CIOTAT, 162
CASTRES, 161
LA POSSESSION, 159
RILLIEUX LA PAPE, 159
MASSY, 158
